Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2020-10-20,19.77516746520996,19.86472188158803,19.132006569207757,19.148289966780325,50297390
2020-10-21,19.95427703857422,20.304352164239123,19.596061067875088,19.75074395595926,41952240
2020-10-22,20.980073928833008,21.10219341207985,19.98683637608306,20.003119770966435,73102480
2020-10-23,20.711408615112305,21.411558653533238,20.686986087436292,21.085907870106748,55603020
2020-10-26,20.857955932617188,21.053346436498895,20.483456612789787,20.597435260774912,35346410
2020-10-27,20.26364517211914,21.3057297374691,20.100819725675166,21.248740404186577,52008110
2020-10-28,19.359962463378906,19.881005571742765,19.319256531011064,19.742602668718586,42517860
2020-10-29,19.457656860351562,19.571635515641308,18.757506655850356,19.197136171813135,47258750
2020-10-30,19.115724563598633,19.48208310052037,18.912193181825586,19.254127474664166,43109000
2020-11-03,19.584150314331055,19.812251679708545,19.315315280378567,19.47009877704201,41184330
2020-11-04,20.366209030151367,20.969049115528385,20.26030526826092,20.77353368933049,106693510
2020-11-05,20.84684944152832,21.13197650323865,20.700213741288824,20.7816776393774,48548280
2020-11-06,20.822416305541992,21.0342255854603,20.57802282323702,20.65134069700844,35009700
2020-11-09,22.508737564086914,22.826450603920108,21.783699807431574,21.783699807431574,110123310
2020-11-10,23.52704429626465,23.74699956984929,22.52502563780125,22.52502563780125,93661590
2020-11-11,23.331527709960938,23.62480082366656,22.981228841290285,23.42928541452948,67672220
2020-11-12,22.761272430419922,23.50260207996515,22.476145379179435,23.152303228966844,50679860
2020-11-13,23.193044662475586,23.29894844529216,22.802012023613095,22.94864947683661,40532580
2020-11-16,24.007688522338867,24.10544623883198,23.543338087096284,23.64109751278979,59407920
2020-11-17,24.023984909057617,24.12174264300166,23.543342289865894,23.92622888431427,44658130
2020-11-18,23.437440872192383,24.08916087349979,23.388562854884828,23.97510931778071,45480380
2020-11-19,23.470020294189453,23.95066282895612,23.355970479221316,23.543338154469,29302790
2020-11-23,23.5433406829834,23.795881905735882,23.40485099664839,23.502608723920265,30333380
2020-11-24,24.20320701599121,24.586091881307826,23.706270612409813,23.706270612409813,52426000
2020-11-25,23.918075561523438,24.268374453981053,23.56777666906582,24.12988479040489,46455420
2020-11-26,23.41299057006836,23.90178078041809,23.315232869838432,23.861047123422207,33750310
2020-11-27,23.59221839904785,24.268376382595786,23.54333868495984,23.665536260979433,48559500
2020-11-30,23.2663631439209,23.787737730460094,23.2663631439209,23.60036831112239,65878230
2020-12-01,24.248525619506836,24.83538185504085,23.58831299581803,23.677971753617534,56501170
2020-12-02,24.435998916625977,24.64791950869598,23.995857069303096,24.387095216978405,35375450
2020-12-03,24.419694900512695,25.169566398852172,24.370791204155115,24.56640940978311,43876580
2020-12-04,24.664215087890625,24.78647687695638,24.16701760171617,24.631612058146327,38606260
2020-12-07,24.810932159423828,25.316278318013907,24.476749787184936,24.65606732449349,33729410
2020-12-08,24.7457218170166,25.373329668946567,24.607157667550172,24.81092787202487,30617620
